SMILES,Potency vs Parasite (uMol),Ion Regulation Activity,SSI%,EC50Chembl(uM)
CC(C)(C)OC(=O)N1CCN(CC1)c2cc(n[nH]2)c3ccc(Oc4ccccc4)cc3,,,,
CC(C)(C)OC(=O)N1CCN(CC1)c2nccc(n2)c3ccc(s3)c4ccc(Cl)cc4,,,,
CC(C)(CN)c1nc(c2ccc(Cl)c(O)c2)c([nH]1)c3ccnc(N)n3,0.4,0,,
CC(C)C(C(=O)Nc1ccc(cc1)S(=O)(=O)N(C)C)c2ccc(Cl)cc2,0.9,1,,
CC(C)C(NC(=O)Cc1cccc2ccccc12)C(=O)Nc3cccc(c3)C#N,1,0,,
CC(C)C(Oc1cccc2ccccc12)C(=O)O,,,,
CC(C)c1ccc(Cn2c(CCNC(=O)C)nc3ccccc23)cc1,1.79,1,,0.764
CC(C)c1ccc(CNCC(O)c2ccccc2)cc1,1.26,0,,1.3455
CC(C)c1ccc(NC(=O)COC2=CC(=C(C#N)C(=O)N2C)C)cc1,,,,
CC(C)c1ncc(c2ccncc2)c(n1)[C@@H]3CC[C@@H](CNC(=O)c4cccnc4)CC3,0.8,0,,
CC(C)CCNCC(O)Cn1c2ccccc2c3ccccc13,0.473,0,,0.2009
CC(C)CN1C(C(C(=O)Nc2cc(C)on2)c3ccccc3C1=O)c4cccs4,0.0328,1,,0.0856
CC(C)CN1CCC(CC1)N(C)c2cc(NC(=O)c3cccc(C)c3)ccn2,2.1,0,,
CC(C)CNc1cc(nc2c([nH]nc12)-c1ccccc1)C,1.4,0,,
CC(C)CNS(=O)(=O)c1ccc(CCC(=O)Nc2ccc(Cl)cc2C)cc1,,,,
CC(C)N(Cc1ccccc1)S(=O)(=O)c2ccc(cc2)C(=O)Nc3cc(C)on3,1,0,,
CC(C)N(Cc1ccccn1)Cc2csc(n2)c3oc(C)cc3,2,0,,
CC(C)N=C1C=C2N(c3ccc(Cl)cc3)c4ccccc4N=C2C=C1Nc5ccc(Cl)cc5,,,,
CC(C)n1c(C)ncc1c2ccnc(Nc3ccc(cc3)S(=O)(=O)C)n2,,,,
CC(C)n1nc(-c2cc3c(Cl)cccc3[nH]2)c2c(N)ncnc12,,,,
CC(C)n1ncc2c(cc(nc12)c3ccccc3)C(=O)NCC(N4CCOCC4)c5cccs5,,,,
CC(C)NCC(=O)Nc1cccc(c1)C(=O)Nc2cccc(c2)C(F)(F)F,0.3,0,,
CC(C)OCc1cc(CN2CCN(CC2)c3cccc(Cl)c3)c(O)c4ncccc14,0.697,0,,0.9409
CC(CCC(=C)C)N1CCC(CC1)N2CCC(CC2)C(=O)NCCc3ccccc3,1.75,0,,4.2594
CC(N(C)c1ncc2c(N)nc(N)nc2n1)c3cc(Cl)cc(Cl)c3,,,,
CC(N1C2=CC(F)=CC=C2)=CC(/C=C(C(N/3C4=CC=CC=C4)=O)\SC3=N/C5=CC=CC=C5)=C1C,4.1,,,
CC(N1C2=CC=C(C(F)(F)F)C=C2)=C(/C=C(C(N/3C4CCCC4)=O)\SC3=N/C5=CC=CC=C5)C=C1C,0.276666667,,,
CC(N1C2=CC=C(C(F)(F)F)C=C2)=C(/C=C(C(N/3CC#N)=O)\SC3=N/C4=CC=CC=C4)C=C1C,50,,,
CC(N1C2=CC=C(C(F)(F)F)C=C2)=C(/C=C3SC(N(CC#N)C4=CC=CC=C4)=NC\3=O)C=C1C,50,,,
CC(N1C2=CC=C(C(F)(F)F)C=C2)=CC(/C=C(C(N/3C4=CC=CC=C4)=O)\SC3=N/C5=CC=CC=C5)=C1C,0.303666667,,,
CC(N1C2=CC=C(C(F)(F)F)C=C2)=CC(C(O)=O)=C1C,50,,,
CC(N1C2=CC=C(F)C=C2)=C(C(CCC(N)=O)=O)C=C1C,50,,,
CC(N1C2=CC=C(F)C=C2)=C(C(O)=O)C=C1C,50,0,,
CC(N1C2=CC=C(F)C=C2)=C(C(OC(C)C(N)=O)=O)C=C1C,11,,,
CC(N1C2=CC=C(F)C=C2)=CC(C(NCC(N)=O)=O)=C1C,50,,,
CC(N1C2=CC=C(F)C=C2)=CC(C(OCC(NC(C3=O)=C(N(N3C4=CC=CC=C4)C)C)=O)=O)=C1C,0.28225,,,
CC(N1C2=CC=CC=C2)=CC(C(O)=O)=C1C,50,,,
CC(N1C2=CC=CC=C2)=CC(C=O)=C1C,50,,,
CC(N1CCN(CC1)S(=O)(=O)c2ccc(cc2)C(C)(C)C)C(=O)N3CCCC3,0.9,0,,
CC(Nc1cc(Cl)ccc1N2CCOCC2)C(=O)N3CCCC(C)C3,0.5,0,,
CC(Nc1nncc(n1)c2ccc(cc2)C(F)(F)F)c3cn(C)nc3C,0.1,0,,
CC(NCc1ccccc1)c2cc(Cl)ccc2O,0.603,0,,0.592
CC(O)(C(CN1CCCCC1)c2ccccc2)c3ccc(Cl)cc3,,0,,0.9157
CC(Oc1ccc(NC(=O)c2cccs2)cc1)C(=O)c3ccc(Cl)cc3,1.03,0,,0.77431091
CC(Oc1cccc(Cl)c1)C(=O)Nc1ccc2oc(nc2c1)-c1ccncc1,,,,
CC(Oc1ccccc1)C(=O)Nc2nc(cs2)c3ccccn3,,,,
CC[C@@H]([C@H](C)O)N1N=CN(C1=O)c2ccc(cc2)N3CCN(CC3)c4ccc(OC[C@@H]5CO[C@](Cn6cncn6)(C5)c7ccc(F)cc7F)cc4,,,,
CC[C@H](CO)NCCN[C@H](CC)CO,,,,
CC1(C)Cc2c(CO1)c(nc3snc(Br)c23)N4CCOCC4,0.3,0,,
CC1(C)OB(O)c2ccc(cc12)C3=NOC(C3)(c4cc(Cl)c(F)c(Cl)c4)C(F)(F)F,,,,
CC1(COc2ccc(cc2)N3CCC(CC3)Oc4ccc(OC(F)(F)F)cc4)Cn5cc(nc5O1)N(=O)=O,,,,
Cc1[nH]c(cc1C(=O)NC2CCN(Cc3ccccc3)CC2)c4ccc(F)cc4,0.771,0,,1.129950484
CC1=C(/C=C2S/C(NC\2=O)=N\C3=CC=CC=C3)C=C(C)N1C4=CC(C(F)(F)F)=CC(C(F)(F)F)=C4,0.034,,,
CC1=C(/C=C2S/C(NC\2=O)=N\C3=CC=CC=C3)C=C(C)N1C4=CC=C(C)C=C4,0.067,,,
CC1=C(/C=C2S/C(NC\2=O)=N\C3=CC=CC=C3)C=C(C)N1C4=CC=CC=C4,0.025,0,,
CC1=C(/C=C2S/C(NC\2=O)=N\C3=CC=CC=C3)C=C(C)N1C4=NC=CC=C4,0.277,0,,
CC1=C(C(=O)c2c(F)cc(F)cc2N1)c3ccc(Oc4ccc(OC(F)(F)F)cc4)cc3,,,,
CC1=C(C(N(C(C(OC)=O)CO)[H])=O)C=NN1C2=CC=CC=C2,,,,
CC1=C(C(O)=O)C=NN1C2=CC=CC=C2,,,,
CC1=C(C(OCC)=O)C=NN1C2=CC=CC=C2,,,,
CC1=C(C)C(NC(N2N=C(C)C=C2NC(C3=CC=C(S(=O)(N(CC)CC)=O)C=C3)=O)=N1)=O,,,,
CC1=C(C=C(C)N1C2=CC=C(F)C=C2)CN(CC3)CCC43C5=C(SC=C5)CCO4,,,26,
CC1=C(C=O)C=C(C)N1C2=CC(C(F)(F)F)=CC(C(F)(F)F)=C2,,,,
CC1=C(C=O)C=C(C)N1C2=CC=C(C(F)(F)F)C=C2,,,,
CC1=C(C=O)C=C(C)N1C2=CC=C(C(OCC)=O)C=C2,,,,
CC1=C(C=O)C=C(C)N1C2=CC=CC=N2,,,,
CC1=C(CC(=O)c2cccc(c2)[N+](=O)[O-])C(=O)c3ccccc3C1=O,0.381,0,,2.844
CC1=C(CCC(=O)O)C(=O)Oc2c(C)c(OCc3cc(C)cc(C)c3)ccc12,,,,
CC1=C(F)C=CC=C1CN2CCCC(CC3=NC(C4=CC=C(NC(C)=O)C=C4)=NO3)C2,,,,
CC1=CC(/C=C(C(N/2)=O)\SC2=N/C3=CC=CC=C3)=C(C)N1C(C=C4)=CC=C4C(F)(F)F,0.078666667,,,
CC1=CC(/C=C(S/2)/C(NC2=N\C3=CC=CC=C3)=O)=C(C)N1C4=CC=C(N)C=C4,2.3,,,
CC1=CC(=C(C)[N]1C2=CC=C(C=C2)Br)C(N(C)CC(=NC)O)=O,50,,,
CC1=CC(=C(C)[N]1C2=CC=C(C=C2)Cl)CNC3CCN(CC3)CC(=NC)O,14.7,,,
CC1=CC(=C(C)[N]1C2=CC=C(C=C2)F)C(=O)OCC(=NC)O,9.4,,,
CC1=CC(=C(C)[N]1C2=CC=C(C=C2)F)C(=O)OCC(N(C)C)=O,11.3,,,
CC1=CC(=C(C)[N]1C2=CC=CC=C2)C(=NCC(N(C)C)=O)O,50,,,
CC1=CC(=C(C)[N]1C2=CC=CC=C2)C(N3CCN=C(C3)O)=O,50,,,
CC1=CC(=C(C)[N]1C2=CC=CC=C2)C3=NN=C(O3)SCC(=NC4=CC(=CC=C4)OC)O,50,,,
CC1=CC(=CC=C1)[N]2C(=CC(=C2C)C(N(C)CC(N=C3C=C(C)ON3)=O)=O)C,50,,,
CC1=CC(=O)Oc2c1ccc3oc(C(=O)c4ccc(C)cc4)c(C)c23,0.906,0,,1.026892859
CC1=CC(=O)Oc2c1ccc3oc(C(=O)c4ccccc4)c(C)c23,,0,,0.441
CC1=CC(C=O)=C(C)N1C1=CC=C(F)C=C1,50,,,
CC1=CC=C(C)N1C2=CC(C(F)(F)F)=CC(C(F)(F)F)=C2,,,,
CC1=CC=C(C)N1C2=CC(OC)=CC=C2,,,,
CC1=CC=C(C)N1C2=CC=C([N+]([O-])=O)C=C2,,,,
CC1=CC=C(C)N1C2=CC=C(C#N)C=C2,,,,
CC1=CC=C(C)N1C2=CC=C(C(F)(F)F)C=C2,,,,
CC1=CC=C(C)N1C2=CC=C(C(OCC)=O)C=C2,,,,
CC1=CC=C(C)N1C2=CC=C(C)C=C2,,,,
CC1=CC=C(C)N1C2=CC=C(OC)C=C2,,,,
CC1=CC=C(C)N1C2=CC=C(S(=O)(N)=O)C=C2,,,,
CC1=CC=C(C)N1C2=CC=CC=C2,,,,
CC1=CC=C(C)N1C2=CC=CC=N2,,,,
CC1=CC=C(N2C(C)=C(C(O)=O)C=C2C)C=C1,50,,,
CC1=CC=C(N2C(C)=C(C=O)C=C2C)C=C1,50,,,
CC1=NC2=NC=CN2C(NC3=CC=C(C(F)(F)F)C=C3)=C1,0.4,0,,
CC1=Nc2ccc(Cl)cc2C(O)(N1CCN3CCCCC3)c4ccc(C)cc4,,,,
CC1=NN(C(=O)C1Cc2cccc3ccccc23)c4nc5ccccc5s4,,,,
Cc1c(C)n(Cc2ccc(F)cc2)c3ccc(cc13)C(=O)NCc4occc4,,0,,0.0782
Cc1cc(C)c2cc([nH]c2c1)C(=O)NC3CCCCCCC3,,,,
Cc1cc(C)c2CN(Cc3ccccc3Cl)COc2c1,0.268,0,,0.1918
Cc1cc(C)c2nc(sc2c1)N3CCC(CC3)C(=O)NCCCN4CCC(CC4)N5CCCCC5,0.697,0,,0.837578346
CC1CC(C)CN(C1)C(=O)c2ccc(Cl)cc2Cl,0.7555,0,,1.3211
Cc1cc(C)n(n1)c2ccc(NC(=O)C3CCN(Cc4cnc(C)s4)CC3)cc2,0.8,0,,
Cc1cc(C)n2nc(nc2n1)C(=O)Nc3cc(ccc3N4CCOCC4)C(F)(F)F,0.2,0,,
Cc1cc(C)nc(n1)n2nc(C)cc2Nc3ccccc3,2,0,,
Cc1cc(C=C2SC(=Nc3ccccc3)N(C4CCCC4)C2=O)c(C)n1c5ccc(Cl)cc5,0.263,0,,0.876429412
Cc1cc(ccc1C(=O)NCc2ccc3B(O)OC(C)(C)c3c2)C4=NOC(C4)(c5cc(Cl)c(F)c(Cl)c5)C(F)(F)F,,,,
Cc1cc(Cl)c(cc1OCC(=O)NC2CCCCC2)S(=O)(=O)N3CCCC3,0.3,0,,
Cc1cc(NC(=O)c2ccc(Oc3ccc(Cl)cc3O)o2)no1,,,,
Cc1cc(Nc2ccc(C)c(Cl)c2)n3nc(nc3n1)C(F)(F)F,0.00671,0,,0.015802193
Cc1cc(Nc2ccc(OCc3ccccc3)cc2)nc4cc(O)ccc14,0.684,0,,0.0736
Cc1cc(Nc2cccc(F)c2)nc(NCc3ccccc3)n1,0.662,0,,0.0722
Cc1cc(Nc2ccncc2)n3nc(C)c(c4ccccc4Cl)c3n1,0.6,0,,
Cc1cc(NCCc2ccccc2)nc(NC(=N)Nc3ccc(Cl)cc3)n1,,,,
Cc1cc(NCCN2CCCCC2)c3ccc4ccccc4c3n1,0.3,0,,0.0441
Cc1cc(O)nc(n1)n2nc(C)cc2C,,,,
Cc1cc(OCC(=O)NCc2ccccc2)c3cc(Br)ccc3n1,,,,
CC1CC1C(=O)NC2CCN(CC3(CCCCC3)c4ccccc4)CC2,0.6,0,,
CC1CC2=C(CC1CNCCCN(C)C)C(C)(C)CCC2,1.005,0,,0.2497
Cc1cc2ccccc2n1CC(=O)N3CC(Oc4ccccc34)C(=O)N5CCCCC5,1.1,1,,
Cc1cc2nc(NC(=O)C(C)(C)C)nc(Cl)c2n1Cc1ccc(Cl)cc1,,,,
Cc1ccc(c(O)c1)c2cc([nH]n2)C(=O)Nc3ccc(cc3)S(=O)(=O)N4CCCCC4,0.535,0,,1.765451986
Cc1ccc(C)c(c1)c2csc(Nc3ccc(C)c(C)c3)n2,,0,,0.493
Cc1ccc(C)c(Cn2c(nc3ccccc23)N4CCC(CC4)C(=O)NCc5cccs5)c1,1.33,0,,0.937906474
Cc1ccc(cc1)-c1cc(c2cc(ccc2n1)Br)C(=O)Nc1cccnc1,0.1,0,,
Cc1ccc(cc1)C2CC(n3nc(cc3N2)C(=O)N4CCN(CC4)C(c5ccccc5)c6ccccc6)C(F)(F)F,0.454,0,,0.6684
Cc1ccc(cc1)c2cc3C(=O)c4ccccc4c3nn2,0.0944,0,,1.998
Cc1ccc(cc1)c2cc3nc4CCCCc4c(O)n3n2,0.396,0,,1.603
Cc1ccc(cc1)N2C(=O)C3C(C2=O)C4(C(=O)C3(C(=C4c5ccccc5)c6ccccc6)c7ccccc7)c8ccccc8,0.282,0,,0.868968102
Cc1ccc(cc1)N2C3N(c4ccccc4C2N(c5ccccc35)S(=O)(=O)c6ccc(C)cc6)S(=O)(=O)c7ccc(C)cc7,0.0248,0,,0.72
Cc1ccc(cc1)S(=O)(=O)c2c(COC(=O)c3cccc(C)c3)c(nn2C)c4ccccc4,,0,,8.4
Cc1ccc(cc1)S(=O)(=O)n2cc(c3ccnc(N)c3)c4cc(Br)cnc24,0.6,0,,
Cc1ccc(cc1)S(=O)(=O)N2CCN(CC2)C(=O)c3cc([nH]n3)c4ccccc4,1,0,,
Cc1ccc(cc1NC(=O)c2cccc(NC(=O)Nc3cccc(c3)C(=O)Nc4cc(ccc4C)C(=O)Nc5ccc(c6cc(cc(c56)S(=O)(=O)O)S(=O)(=O)O)S(=O)(=O)O)c2)C(=O)Nc7ccc(c8cc(cc(c78)S(=O)(=O)O)S(=O)(=O)O)S(=O)(=O)O,,,,
Cc1ccc(cc1NCc2cc(Cc3ccccc3)ccc2O)c4oc5ccccc5n4,,0,,1.034054877
Cc1ccc(Cl)cc1N2CCN(CCCNC(=O)C3CCN(CC3)c4nc5ccccc5[nH]4)CC2,1.33,0,,0.895492448
Cc1ccc(Cn2c(nc3ccccc23)N4CCC(CC4)C(=O)NCc5cccs5)cc1,0.947,0,,0.628925984
Cc1ccc(CSCc2oc(cc2)C(=O)NC3CC3)cc1,0.635,0,,0.418
Cc1ccc(F)cc1NC(=O)c2cc(Cl)ccc2Nc3ccccc3,0.539,1,,0.1914
Cc1ccc(NC(=O)c2cc(ccc2C)S(=O)(=O)NC(C)(C)C)nc1,0.9,0,,
Cc1ccc(NC(=O)c2nc[nH]c2C(=O)Nc3nc4ccccc4[nH]3)c(C)c1,0.4,0,,
Cc1ccc(NC(=O)CC2COc3ccccc3O2)cc1Cl,,,,
Cc1ccc(NC(=O)Nc2cccc(Cl)c2)cc1F,,0,,15
Cc1ccc(Nc2nc(cs2)c3ccccn3)cc1,0.35,0,,0.407
Cc1ccc(Nc2nc(N)c3ccccc3n2)cc1Cl,4,0,,2.811583184
Cc1ccc(Oc2ccc(NC(=O)CNc3ccccc3N4CCCC4=O)cc2)cc1,0.5,0,,
Cc1ccc(OCCCCCCNCCO)c(C)c1,,0,,1.969
Cc1ccc2[nH]c(C3CCCNC3)c(c4ccncc4)c2c1,,,,
Cc1ccc2c(C)nc(Nc3nc(C)cc(n3)c4ccccc4)nc2c1,4,0,,0.975
Cc1ccc2c(NC(=O)C23NN=C(S3)c4ccccc4)c1C,1.1,0,,
Cc1ccc2cc(C3NC(=O)c4ccccc4N3)c(Cl)nc2c1,1.7,0,,
Cc1ccc2cc3c(N)c4c(C)ccc(C)c4nc3nc2c1,1.31,0,,0.431
Cc1ccc2nc(C)c(c3ccn(Cc4ccccc4)n3)n2c1,,,,
Cc1ccc2nc(C)cc(Nc3cccc(c3)C(F)(F)F)c2c1,1.17,0,,0.8787
Cc1ccc2nc(Cl)c(CNCc3cccs3)cc2c1,,,,
Cc1ccc2oc(nc2c1)c3cc(NC(=O)Cc4ccccc4)ccc3Cl,,,,
Cc1cccc(c1)N2C(=O)C3C(C2=O)C4(C(=O)C3(C(=C4c5ccc6OCOc6c5)c7ccc8OCOc8c7)c9ccccc9)c%10ccccc%10,0.3045,0,,1.073
Cc1cccc(Cn2ccc(NC(=O)c3ccc4OCOc4c3)n2)c1,,,,
Cc1cccc(n1)c2nc(Nc3ccncn3)c4sccc4n2,,,,
Cc1cccc(Nc2nc(N)c3ccccc3n2)c1,0.4,0,,0.573777396
Cc1ccccc1C(=O)N2N=C(Nc3ccccc3)SC2(C)C,,,,
Cc1ccccc1CN2CCC(O)(CC2)c3ccc(Cl)c(c3)C(F)(F)F,,,,
CC1CCCCC1NCC(O)Cn2c(C)c(C)c3ccccc23,0.769,0,,0.5273
Cc1ccccc1OCCSc2nc3ccc(NC(=O)c4ccccc4)cc3s2,1.12,0,,9.76
Cc1ccccc1OCCSc2nc3ccc(NC(=O)c4cccs4)cc3s2,0.697,0,,0.497
CC1CCCCN1C(=O)NCCc2coc(n2)c3ccc(F)cc3,,,,
CC1CCCCN1CCCNC(=O)c2ccc3c(c2)sc4nc(cn34)c5ccc(F)cc5,0.648,0,,0.6342
CC1CCN(Cc2c(O)ccc3C=C(C(=O)Oc23)c4nc5ccccc5s4)CC1,1.132,0,,12.5
CC1CCN(Cc2ccc(NC(=O)c3cc4ccc5cccnc5c4[nH]3)cc2)CC1,0.274,0,,0.778651716
Cc1ccnc(NC(c2cccc(OCc3ccccc3)c2)c4ccc5cccnc5c4O)c1,1.015,0,,1.251866731
CC1CN(CC(C)O1)C(=O)c2sc3ccccc3c2Cl,0.0255,0,,0.087881113
Cc1cnc(CCNC(=O)c2cc(cs2)c3ccc(Cl)cc3)[nH]1,0.8,0,,
Cc1cnc(nc1Oc2ccc(cc2)n3ccnc3)N4CCN[C@@H](Cc5ccccc5)C4,,,,
CC1COC(Cn2cncn2)(O1)c3ccc(Oc4ccc(Cl)cc4)cc3Cl,,,,
CC1COC2(CCN(CC2)C3=NC(=O)c4cc(cc(c4S3)[N+](=O)[O-])C(F)(F)F)O1,,,,
CC1CS(=O)(=O)CCN1\N=C\c2oc(cc2)[N+](=O)[O-],,,,
Cc1nc([nH]c1C)c2cccc(NCc3ccccc3)c2,1.9,0,,
Cc1nc(nc(N2CCC(Cc3ccccc3)C2)c1Cl)c4ccccn4,,,,
Cc1nc(nc(NCCc2ccc(cc2)S(=O)(=O)C)c1Cl)c3ccccn3,,,,
Cc1nc2ccccc2c(O)c1CC=C,1.29,0,,0.707
Cc1nc2ccccc2c(O)c1CC=C(Cl)Cl,0.8355,0,,0.498
Cc1nc2ccccn2c1C(=O)NCc3ccc(Cl)cc3,,,,
Cc1nn(C)c(C)c1NS(=O)(=O)c2c(Cl)cc(cc2Cl)c3ccnc(c3)N4CCNCC4,,,,
Cc1nn(Cc2ccccc2)c(Cl)c1C(=O)NC3CCCCCC3,,,,
Cc1nn2C(=O)C3=C(CCCC3)Nc2c1c4ccc(Cl)cc4,,,,
Cc1nn2c(O)c3CCCCc3nc2c1c4ccc(F)cc4,,,,
Cc1nnc(NCc2cccc(Cl)c2)c3ccccc13,,,,
Cc1oc(CN2CCC(CC2)C(=O)Nc3ccc(cc3)c4cc5ccccc5[nH]4)cc1,,0,,1.424964675
Cc1oc(NC(=O)c2cn(nc2c3ccccc3C)c4ccccc4)nn1,0.7,0,,
Cc1onc(C)c1C(=O)N2CCCC(C2)c3[nH]c4c(C)cccc4c3c5ccncc5,0.9,1,,
Cc1onc(C)c1COc2cccc(c2)C(=O)Nc3ncccc3C,,,,
Cc1onc(c1)C(=O)Nc2ccc(cc2)c3ccccc3,0.8,0,,
Cc1onc(c1)C(=O)Nc2cnn(Cc3ccc(Cl)cc3Cl)c2,1.9,0,,
Cc1onc(NC(=O)c2ccc(cc2)c3ccccc3)c1,0.693,0,,1.023587891
Cc1sc2ncnc(Sc3nc4ccccc4[nH]3)c2c1C,0.6145,0,,0.25505685
CCC(=O)Nc1ccccc1C(=O)Nc2ccccn2,,,,
CCC(=O)Nc1nnc(Cc2ccc(OC)c(OC)c2)s1,,0,,0.909722017
CCC(C)NC(=O)c1ccc(NC(=O)C2(CCCC2)c3ccccc3)cc1,,,,
CCC(C)NCC(O)(c1ccc(Cl)cc1)c2ccc(Cl)cc2,0.642,0,,0.734146513
CCC(c1ccccc1)c2nn3c(nnc3s2)c4cccs4,0.259,0,,0.166673378
CCC(NC(=O)c1ccccc1NC(=O)c2ccc(C)cc2)C(=O)OC,0.2,0,,
CCC(O)c1ccc(Br)cc1NC(=O)c2cccc(Cl)c2,0.6405,0,,1.023183393
CCC(Sc1oc2ccccc2n1)C(=O)Nc3nccs3,,,,
CCC(Sc1oc2ccccc2n1)C(=O)Nc3nnc(C)s3,,,,
CCC1(C)CC(CCNCc2ccccc2O)(CCO1)c3ccc(C)cc3,0.142,0,,0.038750999
CCC1=C(C)C(=N)c2ccccc2N1C,0.378,0,,0.701
CCC1=C(C)N=C(NC1=O)n2nc(C)cc2NC(=O)c3ccccc3SC,,,,
CCC1=CC(=O)N(C)C(=N1)SC(C)C(=O)Nc2ccc(F)cc2,2,1,,
CCC1=CC=C(C=C1)[N]2C(=CC(=C2C)CN3CCC(CC3)C(=O)O)C,50,,,
CCC1=NN=C2C=NC=C(N21)Cl,,,,
CCc1ccc(cc1)[C@@H]2C[C@@H](n3ncc(C(=O)NCc4ccc(OC)cc4)c3N2)C(F)(F)F,,,,
CCc1ccc(cc1)C(NCc2nc(N)nc(n2)N(C)C)C(C)C,2,0,,
CCc1ccc(cc1)S(=O)(=O)Nc2cc(CN3CCN(CCC(C)C)CC3)ccc2C,,,,
CCc1ccc(CNCC(O)c2ccccc2)cc1,,0,,2.1685
CCc1ccc(Nc2cc(C)c3ccc(O)cc3n2)cc1,0.194,0,,0.7325
CCc1ccc(Nc2cc(C)nc3nc(C)nn23)cc1,4,0,,0.574
CCc1ccccc1n2c(C)cn3c4C(=O)N(C(C(C)C)C(=O)OC)C(=O)N(C)c4nc23,,,,
CCc1nc2ccc(Cl)cn2c1C(=O)NCc3ccc(cc3)N4CCC(CC4)c5ccc(OC(F)(F)F)cc5,,,,
CCc1nc2ccc(cn2c1N(C)Cc3cccs3)C(=O)NCc4ccc5OCOc5c4,,,,
CCc1nc2ccccc2n1CC(O)COc3cc(C)ccc3Cl,,,,
CCc1nn(C)c(C(=O)NCc2ccc(Oc3ccc(C)cc3)cc2)c1Cl,,,,
CCCC(N1CCN(CC1)C(=O)c2occc2)c3nnnn3C4CCCCC4,,0,,1.333
CCCC1=C(CC)C(=N)c2ccccc2N1C,0.2425,0,,0.762
CCCc1c(C)nc2ccc(Br)cc2c1O,1.19,0,,1.507
CCCc1c(C)nc2ccccc2c1O,,0,,0.63
CCCc1cc(O)c2C3=C(CN(C)CC3)C(=O)Oc2c1,0.146,0,,0.695351625
CCCc1ccc(cc1)S(=O)(=O)Nc2ccc(CN3CCN(CC4CC4)CC3)cc2,,,,
CCCCC(O)(C(CN1CCOCC1)c2ccc(Cl)cc2)c3ccc(Cl)cc3,1.38,0,,4.0149
CCCCC1=C(CCC)C(=N)c2ccccc2N1C,0.716,0,,0.3113
CCCCc1c(C)nc2c(OC)cccc2c1O,4,0,,1.689
CCCCc1ccc(NC(=O)Nc2ccc(O[C@H]3CCCC[C@@H]3N(C)c4ccccc4)c(F)c2)cc1,,,,
CCCCc1ccc(nc1)C(=O)Nc2nccc3ccccc23,,,,
CCCCc1ccc(NS(=O)(=O)c2cc3CCN4C(=O)CCc(c2)c34)cc1,0.538,0,,15
CCCCCC(=O)N1C(C2=C(O)CC(CC2=Nc3ccccc13)c4ccc(OC)c(OC)c4)c5ccc(cc5)C(F)(F)F,0.237,0,,0.1072
CCCCCCC(O)(C(CN1CCOCC1)c2ccccc2)c3ccc(F)cc3,,0,,3.1801
CCCCCCc1cc(O)c2C3=C(CCC(C)C3)C(=O)Oc2c1,0.534,0,,0.364
CCCCCCc1cc2C=C(C(=Nc3ccccc3C)Oc2cc1O)c4nc5ccccc5[nH]4,0.551,0,,2.123
CCCCCCc1cc2C=C(C(=O)Oc2cc1O)c3csc(C=Cc4ccccc4)n3,0.387,0,,0.970292283
CCCCCCCCCCCCCCCCOP(=O)([O-])OCC[N+](C)(C)C,,,,
CCCCCCN1C(=N)N(CC(O)COc2cccc(C)c2)c3ccccc13,1.135,0,,1.9692
CCCCCCOC(=O)C1=C(C)NC(=O)NC1c2ccccc2F,0.106,0,,6.76
CCCCCN1C(=N)N(CC(O)COc2cccc(C)c2)c3ccccc13,,0,,2.6504
CCCCN(CCCC)c1c(cc(cc1C#N)S(=O)(=O)Nc2ccccc2)C#N,,,,
CCCCN(CCCC)S(=O)(=O)c1ccc(NC(=O)c2occc2)cc1,,0,,1.425
CCCCNc1nc(NC(C)(C)C)nc(NC(C)(C)C)n1,0.706,0,,2.157
CCCCNCC(O)(c1ccc(Cl)cc1)c2ccc(Cl)cc2,0.843,0,,0.72
CCCCOC(=O)c1ccc(Nc2cc(C)nc3ccc(OC)cc23)cc1,0.584,0,,0.639573215
CCCCOC(=O)Nc1cc2nc([nH]c2cc1N3CCCC3)C4CCCCC4,,,,
CCCCOc1ccc(cc1)C(=O)Nc2cc(C)on2,,0,,3.161
CCCCS(=O)(=O)Nc1ccc2cnn(C)c2c1,,,,
CCCN(CCC)CC(O)COc1ccccc1C(=O)Nc2ccccc2,0.196,0,,0.540184551
CCCN(CCC)CCCNC(=O)c1cc2c(nn(C)c2s1)c3ccc(OC)c(OC)c3,1.43,0,,4.0426
CCCN1C(=N)C(=CC2=C1N=C3N(C=CC=C3C)C2=O)C(=O)NC4CCCCC4,1.109,0,,0.46
CCCn1c(CNc2ccccc2O)nc3ccccc13,,,,
CCCn1c(NC(=O)c2ccc3ccccc3n2)nc4ccccc14,2,0,,
CCCn1nnc(NC(=O)COc2ccc(cc2)C3CCCCC3)n1,,,,
CCCNC(=O)N1CCC2(CC1)CC(=O)c3cc(C)ccc3O2,2.1,0,,
CCCOCc1cc(CN2CCN(CC2)c3cccc(Cl)c3)c(O)c4ncccc14,0.407,0,,1.0963
CCCS(=O)(=O)N1CCC(CO)(Cc2ccccc2C(F)(F)F)CC1,1.1,1,,
CCN(CC(=NC1=C(C=CC=C1F)F)O)C(C2=C(C)[N](C(=C2)C)C3=CC=C(C=C3)F)=O,50,,,
CCN(CC)C(=O)N1CCN(C)CC1,,,,
CCN(CC)c1cc(C)c2cc(NC(=O)c3cccc(OC)c3)ccc2n1,,0,,4.7744
CCN(CC)c1ccc(NC(=O)c2cccs2)cc1,,0,,0.414
