Structure,Most Acidic pKa,Most Basic pKa
C(F)(F)(F)c(cc1)ccc1C(=O)NCC(N2CCCCCC2)c(ccs3)c3,7,7.49158
c(n1)(nc(NNC(=O)c(cc2)ccc2)cc1N(CCC3)C3)N(C4)CCC4,9.96304,6.74888
C(Nc1nn2c(cnc2s1)c3cccs3)C4CCOCC4,11.2828,3.9925
C[C@@]1(O)C[C@@H](C1)c2nc(c3ccc4ccc(nc4c3)c5ccccc5)c6c(N)nccn26,10.7723,4.81601
C[C@@H](C1)N[C@@]2(C(NC3=C2C=C(Cl)C=C3)=O)C4=C1C5=CC(F)=C(Cl)C=C5N4,9.4838,6.44931
C[C@@H](CC1)N[C@@]2(C(NC3=C2C=C(Cl)C=C3)=O)C4=C1C5=CC=CC=C5N4,9.59055,6.10182
C[C@@H](N1CCCC[C@H]1c2ccc(OCc3cccc(F)c3)cc2)C(=O)N,7,8.67771
C1(=NC(N(C)C2=O)=O)C2=NC(=NN1CC)c3ccc(C(=O)OC)cc3,7,4.8301
c1(C#N)nc(Cc2cccc(cccc3)c23)oc1N(CC4)CCN4C(c5ccccc5)c6ccccc6,7,7.84217
c1(C(c(cccn2)c2)N3CCC(CC3)Cc4ccccc4)c(C)c(C)sc1NC(=O)c5ccco5,6.99861,8.53079
c1(C(c2cccs2)N(CCN3c4ccccc4)CC3)c(C)c(C)sc1NC(c5ccccc5)=O,11.7845,7.76931
c1(c(cnn1c2cccc(C)c2)C(=O)N3)N=C3n4nc(C)cc4NC(=O)c5cc(cccc6)c6o5,9.84726,6.12646
c1(C(OCC)=O)c(cc(cc2)OC(=O)c(cc3OC)cc(OC)c3OC)c2n(c4ccccc4)c1C,7,7
c1(cc(C)nc(ccc(OC)c2)c12)Nc3ccccc3O,8.72526,5.97985
c1(cc(c2ccc(C)cc2)n3)n3ccnc1SCC(=O)Nc(c(Cl)ccc4C(F)(F)F)c4,8.16172,5.93103
c1(cc(c2ccc(OC)cc2)n3)n3ccnc1SCC(=O)Nc(c(Cl)ccc4C(F)(F)F)c4,7.81291,5.99696
c1(cc(c2ccccc2)n3)n3ccnc1SCC(=O)Nc(c(Cl)ccc4C(F)(F)F)c4,8.25432,5.87141
c1(ccccc1)CCCc1cncc2n1c(nn2)c1ccc(cc1)OC(F)F,7,4.67734
c1(Cl)c(ccc(Cl)c1)OCC(O)CNC(C)(C)CC(C)(C)C,6.59319,9.1187
C1(N(C)N=O)=C(NC2CCCCC2)C(=O)c(cccc3)c3C1=O,10.6155,4.92727
c1(ncc2n(c1)c(nn2)c1ccc(cc1)OC(F)F)NC(Cc1cccc(c1)Cl)=O,9.4692,4.4188
c1(ncc2n(c1)c(nn2)c1ccc(cc1)OC(F)F)NCCc1ccc(cc1)F,11.0836,4.64729
c1(OCC)c(OC)cc(cc1Cl)CN([H])CC(O)c2ccccc2,6.25234,8.56831
c1(OCC)c(OCC)cc(cc1Cl)CN([H])C(C)C(O)c2ccccc2,6.04678,8.59599
c1(sc(cc2c(c3CC2)c4ccc3)c4n1)NC(=O)c(cc5OC)cc(OC)c5OC,9.59053,4.04829
C12(Nc(cccc3)c3c4n1c5c(cccc5)n4)C(=O)Nc(ccc(OC)c6)c26,10.4661,4.88261
C12=C(c3c(cccc3)C1=O)Nc4c(cccc4)SC2c5ccccc5,11.1295,-2.3651
C12=C(N=CN(CCCN(C)C)C1=N)Oc3c(ccc(cccc4)c34)C2c5ccc(OC)cc5,7,9.64022
C12=C(N=CN(CCCn(ccn3)c3)C1=N)Oc4c(ccc(cccc5)c45)C2c6ccc(OC)c(OC)c6,7,7.66278
C12=CC=CC=C1C3=C(C4(CCN(CC5=CC=CC=C5)CC4)OCC3)N2,7.36622,9.26281
c12c(C(=O)N(C)C(=O)N1C)n(Cc3cccc(OC)c3)c(Oc4ccccc4)n2,7,4.81443
c12c(nc(c3ccc(OC)cc3)nc1N4CCN(C(=O)C5CCCCC5)CC4)sc(CCCC6)c26,7,5.87244
c12c(ncnc1N(CC3)CCN3C)c4c(ccc(Cl)c4)[nH]2,8.18509,8.97021
c12c(ncnc1NCCN(CC)CC)c3c(ccc(Cl)c3)[nH]2,7.95882,9.06676
c1c(c(c(cc1)C(F)(F)F)Cl)CNC(c1cncc2n1c(nn2)c1ccc(cc1)OC(F)F)=O,7,4.11423
C1CCN(CC1)c2cc(nc3ccccc23)c4ccccn4,7,5.33156
c1ncc2n(c1COCc1cc(c(cc1)F)F)c(nn2)c1ccc(cc1)OC(F)F,7,4.79703
c1ncc2n(c1OCC(F)(F)F)c(nn2)c1ccc(cc1)OC(F)F,7,4.13105
CC(=O)Nc1ccc(NC(=O)c2cc([nH]n2)c3cc(Cl)ccc3O)cc1,6.67058,5.66165
CC(C)(C)c1cc(C(=O)N2CCN(CC2)c3nccnc3C#N)n(Cc4ccccc4)n1,7,6.69469
CC(C)(C)c1cc(cc(c1)C(=O)Nc2cccnc2)C(=O)Nc3cccnc3,9.54086,4.75738
CC(C)(C)CN1C(=NC(C1=O)(c2ccccc2)c3ccccc3)N,7.28959,8.07821
CC(C)(CN)c1nc(c2ccc(Cl)c(O)c2)c([nH]1)c3ccnc(N)n3,7.35481,9.13143
CC(C)C(C(=O)Nc1ccc(cc1)S(=O)(=O)N(C)C)c2ccc(Cl)cc2,10.169,7
CC(C)C(NC(=O)Cc1cccc2ccccc12)C(=O)Nc3cccc(c3)C#N,10.7117,7
CC(C)c1ncc(c2ccncc2)c(n1)[C@@H]3CC[C@@H](CNC(=O)c4cccnc4)CC3,7,4.48438
CC(C)CN1CCC(CC1)N(C)c2cc(NC(=O)c3cccc(C)c3)ccn2,8.40595,9.42545
CC(C)CNC1=CC(=NC2=C([NH]N=C12)C3=CC=CC=C3)C,6.51944,5.7985
CC(C)N(Cc1ccccc1)S(=O)(=O)c2ccc(cc2)C(=O)Nc3cc(C)on3,10.5641,7.20308
CC(C)N(Cc1ccccn1)Cc2csc(n2)c3oc(C)cc3,7,7.81163
CC(C)NCC(=O)Nc1cccc(c1)C(=O)Nc2cccc(c2)C(F)(F)F,7.77875,7.92035
CC(N1C2=CC=C(F)C=C2)=C(C(O)=O)C=C1C,4.90628,7
CC(N1CCN(CC1)S(=O)(=O)c2ccc(cc2)C(C)(C)C)C(=O)N3CCCC3,7,6.64852
CC(Nc1cc(Cl)ccc1N2CCOCC2)C(=O)N3CCCC(C)C3,11.6681,6.57766
CC(Nc1nncc(n1)c2ccc(cc2)C(F)(F)F)c3cn(C)nc3C,11.4678,7.1894
CC1(C)Cc2c(CO1)c(nc3snc(Br)c23)N4CCOCC4,7,5.03325
CC1=C(/C=C2S/C(NC\2=O)=N\C3=CC=CC=C3)C=C(C)N1C4=CC=CC=C4,10.1643,4.30263
CC1=C(/C=C2S/C(NC\2=O)=N\C3=CC=CC=C3)C=C(C)N1C4=NC=CC=C4,10.0439,4.71624
CC1=NC2=NC=CN2C(NC3=CC=C(C(F)(F)F)C=C3)=C1,8.43374,5.75274
Cc1cc(C)n(n1)c2ccc(NC(=O)C3CCN(Cc4cnc(C)s4)CC3)cc2,11.5382,7.87677
Cc1cc(C)n2nc(nc2n1)C(=O)Nc3cc(ccc3N4CCOCC4)C(F)(F)F,9.33151,5.75594
Cc1cc(C)nc(n1)n2nc(C)cc2Nc3ccccc3,11.8784,6.78277
Cc1cc(Cl)c(cc1OCC(=O)NC2CCCCC2)S(=O)(=O)N3CCCC3,7,7
Cc1cc(Nc2ccncc2)n3nc(C)c(c4ccccc4Cl)c3n1,10.6816,5.90921
CC1CC1C(=O)NC2CCN(CC3(CCCCC3)c4ccccc4)CC2,7,8.39998
Cc1cc2ccccc2n1CC(=O)N3CC(Oc4ccccc34)C(=O)N5CCCCC5,7,7
CC1=CC=C(C=C1)C2=NC3=CC=C(Br)C=C3C(=C2)C(=O)NC4=CN=CC=C4,11.0409,4.38069
Cc1ccc(cc1)S(=O)(=O)n2cc(c3ccnc(N)c3)c4cc(Br)cnc24,11.4154,6.43232
Cc1ccc(cc1)S(=O)(=O)N2CCN(CC2)C(=O)c3cc([nH]n3)c4ccccc4,6.2517,6.01061
Cc1ccc(NC(=O)c2cc(ccc2C)S(=O)(=O)NC(C)(C)C)nc1,9.91447,4.55056
Cc1ccc(NC(=O)c2nc[nH]c2C(=O)Nc3nc4ccccc4[nH]3)c(C)c1,7.80952,5.65775
Cc1ccc(Oc2ccc(NC(=O)CNc3ccccc3N4CCCC4=O)cc2)cc1,10.0357,4.69598
Cc1ccc2c(NC(=O)C23NN=C(S3)c4ccccc4)c1C,10.5283,4.8647
Cc1ccc2cc(C3NC(=O)c4ccccc4N3)c(Cl)nc2c1,12.1076,2.91412
Cc1cnc(CCNC(=O)c2cc(cs2)c3ccc(Cl)cc3)[nH]1,6.44681,7.2802
Cc1nc([nH]c1C)c2cccc(NCc3ccccc3)c2,7.79243,5.549
Cc1oc(NC(=O)c2cn(nc2c3ccccc3C)c4ccccc4)nn1,11.2793,5.93768
Cc1onc(C)c1C(=O)N2CCCC(C2)c3[nH]c4c(C)cccc4c3c5ccncc5,10.2,6.43269
Cc1onc(c1)C(=O)Nc2ccc(cc2)c3ccccc3,11.5372,5.26692
Cc1onc(c1)C(=O)Nc2cnn(Cc3ccc(Cl)cc3Cl)c2,11.7719,6.12181
CCC(NC(=O)c1ccccc1NC(=O)c2ccc(C)cc2)C(=O)OC,9.51096,7
CCC1=CC(=O)N(C)C(=N1)SC(C)C(=O)Nc2ccc(F)cc2,10.2063,4.15229
CCc1ccc(cc1)C(NCc2nc(N)nc(n2)N(C)C)C(C)C,10.5437,7.20637
CCCn1c(NC(=O)c2ccc3ccccc3n2)nc4ccccc14,10.7266,5.52492
CCCNC(=O)N1CCC2(CC1)CC(=O)c3cc(C)ccc3O2,7,7
CCCS(=O)(=O)N1CCC(CO)(Cc2ccccc2C(F)(F)F)CC1,10.2887,7
CCN(CC)S(=O)(=O)c1ccc(Cl)c(c1)C(=O)Nc2ccc3nc(C)sc3c2,9.94302,3.16326
CCn1cnc2c(Nc3cc(F)cc(F)c3)nc(nc12)C#N,11.4654,3.60378
CCn1ncc2c(NC3CCOCC3)c(CNC(=O)c4ccnn4C)c(C)nc12,12.6302,6.76363
CCNC(=O)C(C)Nc1nc(nc2sc(C)c(C)c12)c3cccnc3,11.533,4.76561
CCOc1ccc(cc1)c2nc(NC(=O)CS(=O)(=O)c3ccccc3)sc2C,8.93533,5.00521
CCOc1ccccc1C(=O)Nc2cccc(c2)c3nc4ncccn4c3C,10.6141,4.8397
CCOc1ccccc1NC(C)C(=O)Nc2cc(ccc2N3CCOCC3)C(F)(F)F,7.06326,5.42825
ClC(C=C1)=CC=C1C2=NN=C3N2C(OCCC4=CC=CC=C4)=CN=C3,7,4.50059
Clc1ccc(cc1)S(=O)(=O)N2CCN(CC2)C(=S)NCc3occc3,9.87907,3.47613
Clc1ccc(cc1)S(=O)(=O)NC(Cc2c[nH]c3ccccc23)C(=O)N4CCCCC4,8.77984,7
Clc1ccc2nc(cc(c2c1)C(=O)NCCN1CCCC1)NCCN1CCOCC1,9.87567,9.54038
Clc1ccc2OCCN(c3ccc(s3)C(=O)NC4CC4)c2c1,7,0.44984
Clc1cccc(c1)C(c2ccc(CN3CCNCC3)cc2)n4ccnc4,7,9.50411
Clc1cccc(c1)c2cnn3ccc(nc23)C(=O)Nc4ccc(cc4)N5CCNCC5,7.99884,9.28212
Clc1cccc(NC(=O)c2cnc(N3CCN(CC3)c4ccncc4)c(Cl)c2)c1,9.93801,6.48321
Clc1ccccc1CSCc2oc(cc2)C(=O)NC3CC3,7,7
CN(C(=O)c1cc2c(cccc2[nH]1)c3cncnc3)c4ccccc4,9.6134,3.35175
CN(C)c1cc(NC(=O)Nc2ccccc2)c3ccccc3n1,10.4103,5.62243
CN(C)CCNC(=O)N1CCCN(CC1)c2ncnc3cc(sc23)c4ccccc4,7,9.29676
CN(C)CCNc1ncnc2c3cc(C)ccc3[nH]c12,7.77445,8.93323
CN(c1ccc(F)cc1)S(=O)(=O)c2ccc(Cl)c(c2)C(=O)Nc3cccc(C)n3,9.65404,5.32255
CN1CCC(CC1)NCc2cccc(c2)c3ccc(cc3)S(=O)(=O)NCc4ccccc4,7,9.24769
CN1CCN(CC1)c2nccc3[nH]c(cc23)c4cccc(F)c4,7.52498,9.41759
CN1CCN(CC1)c2nccc3nc([nH]c23)c4ccc(F)c(F)c4,7.66955,9.00613
CN1CCN(CC1)S(=O)(=O)c2ccc(cc2)c3ccc4c(Nc5ccc6nn[nH]c6c5)ccnc4c3,6.02239,8.85938
CNC(=O)c1cc(cs1)S(=O)(=O)N2CCN(CC2)c3ccccn3,7,6.32899
CNC(=O)C1Cc2c([nH]c3cc(Cl)ccc23)C4(CCN(CCc5ccccc5)CC4)N1,7.7345,9.01356
CNC(=O)CNc1nc(nc2scc(c3ccccc3)c12)c4ccccn4,12.0569,4.78442
CO\C=C(\C(=O)OC)/c1ccccc1Oc2cc(Oc3ccccc3C#N)ncn2,7,6.0156
COc1cc(ccc1O)c2cc(cnc2N)c3ccc(cc3)S(=O)(=O)C,8.29986,4.9419
COc1cc(OC)cc(c1)C(=O)NCC2Cc3cc(Cl)cc(c3O2)c4ccncc4,7,5.51295
COc1cc2ncnc(NC3CCN(Cc4ccccc4)CC3)c2cc1OC,9.37963,9.34135
COc1ccc(cc1)c2cncc3ccc(nc23)C(=O)NCCCn4ccnc4,7,7.29989
COc1ccc(cc1OC)C2CC(=NN2C(=O)c3occc3)c4cccs4,7,3.55024
COc1ccc(cc1OC)c2cnc3ccc(nn23)N4CCCC4,7,4.83452
COc1ccc(CCN2CCC(CC2)NCc3cccc(c3)N(C)C)cc1,7,9.78199
COc1ccc(Cl)cc1NC(=O)CN(C)C(=O)c2cnn(n2)c3ccccc3,11.1194,5.29037
COc1ccc(cn1)c2cnc3ccc(NCc4ccc(cc4)S(=O)(=O)N)nn23,11.0981,4.53707
COc1ccc(CN2CCOc3ccc(cc3C2)C(C)(O)CN(C)C)cc1C,6.05315,9.2562
COc1cccc(c1)c2cc3c(Nc4cccnc4)nccc3[nH]2,9.75172,5.60358
COc1cccc(CC(=O)N2CCC(CC2)n3c(C)nc4ccc(F)cc34)c1,7,4.91983
COc1cccc2c(C)nc(N=C(N)N)nc12,10.5618,6.30202
COc1ccccc1C(C)NCC(=O)Nc2cc(ccc2Cl)C(F)(F)F,8.40549,8.13336
COc1ccccc1CNC(=O)c2cc(nc3c2cnn3C(C)C)C4CC4,7,5.86791
COc1cncc(c1)c2cncc(n2)N3CCN(CC3)c4ccncc4,7,6.01294
CS(=O)(=O)c1cccc(c1)c2cnc3[nH]cc(c4ccc(CCC(=O)O)cc4)c3c2,5.12486,6.54834
FC(C(Cl)=C1)=CC=C1NC(C2=CN=CC3=NN=C(C4=CC=C(OC(F)F)C=C4)N32)=O,8.58549,4.21754
FC(C=C1)=C(F)C=C1CCOC2=CN=CC3=NN=CN32,7,4.90986
FC(F)(F)c1cc(cc(c1)C(F)(F)F)C(=O)Nc2ccnc(n2)c3cccnc3,6.4674,5.2108
FC(F)(F)c1ccc(CN2C(=O)COCc3ccc(Br)cc23)cc1,7,7
FC(F)(F)c1cccc(c1)C(=O)NC2CCN(C2)c3ccnc4ccccc34,7,6.25936
FC(F)(F)c1cccc(c1)c2nc3c(NCc4ccncc4)nccc3[nH]2,8.92817,6.374
FC(F)(F)c1cnc(Sc2oc(nn2)c3ccncc3)c(Cl)c1,7,4.59771
FC(F)(F)c1nc(oc1C(=O)Nc2ccc(nc2)N3CCNCC3)c4ccccc4,7.88053,9.10023
FC(F)OC(C=C1)=CC=C1C2=NN=C3C=NC=C(C(NC4=CC(C(F)(F)F)=CC(C(F)(F)F)=C4)=O)N32,5.58035,5.66937
FC(F)OC(C=C1)=CC=C1C2=NN=C3C=NC=C(OC(C)C4=CC=C(C#N)C=C4)N32,7,4.39406
FC(F)OC(C=C1)=CC=C1C2=NN=C3C=NC=C(OC(C)C4=CC=C(F)C(F)=C4)N32,7,4.25333
FC(F)OC(C=C1)=CC=C1C2=NN=C3C=NC=C(OCC(C4=CC=CC=C4)CO)N32,11.9994,4.49084
FC(F)OC(C=C1)=CC=C1C2=NN=C3C=NC=C(OCC(N=N4)=CN4C5=CC=CC=C5)N32,7,5.77398
FC(F)OC(C=C1)=CC=C1C2=NN=C3C=NC=C(OCC4=CC=CC=C4)N32,7,4.48909
FC(F)OC(C=C1)=CC=C1C2=NN=C3C=NC=C(OCC4=CN(C5=NC(Cl)=CN=C5)N=N4)N32,7,4.86254
FC(F)OC(C=C1)=CC=C1C2=NN=C3C=NC=C(OCC4=CN(CC5=CC=CC=C5)N=N4)N32,7,5.33172
FC(F)OC(C=C1)=CC=C1C2=NN=C3C=NC=C(OCCC4(C56)C7C6C8C5C4C87)N32,7,4.34929
FC(F)OC(C=C1)=CC=C1C2=NN=C3C=NC=C(OCCC4=CC(OC)=CC=C4)N32,7,4.75218
FC(F)OC(C=C1)=CC=C1C2=NN=C3C=NC=C(OCCC4=CC=C(OC)C=C4)N32,7,4.76024
FC(F)OC(C=C1)=CC=C1C2=NN=C3C=NC=C(OCCC4=CC=CC=C4)N32,7,4.45745
FC(F)OC(C=C1)=CC=C1C2=NN=C3C=NC=C(OCCCC45C6C7C4C8C5C6C87)N32,7,4.15755
FC(F)OC(C=C1)=CC=C1C2=NN=C3C=NC=C(S(CCC4=CC=CC=C4)=O)N32,7,4.72353
FC(F)OC(C=C1)=CC=C1C2=NN=C3C=NC=C(SCCC4=CC=CC=C4)N32,7,4.5026
FC(OC(C=C1)=CC=C1C2=NN=C3C=NC=C(CN4CC(C=CC=C5)=C5C4)N32)F,7,7.22549
FC(OC1=CC=C(C2=NN=C3C=NC=C(N32)OCC(C4=CC(F)=C(C=C4)F)O)C=C1)F,9.42963,4.42287
FC1(F)CCN(CCCCNc2cc(c3cc(ccc3n2)Cl)C(=O)NCCN2CCCC2)CC1,8.32198,8.8269
FC1=C(C=CC(C(COC2=CN=CC3=NN=C(N32)C4=CC=C(OC(F)F)C=C4)N(C)C)=C1)F,7,8.0066
FC1=C(F)C=CC(C(N(C)C)COC2=CN=CC3=NN=C(C4=CC=C(C#N)C=C4)N32)=C1,7,7.41032
FC1=C(F)C=CC(C(OC)COC2=CN=CC3=NN=C(C4=CC=C(C#N)C=C4)N32)=C1,7,4.47339
FC1=C(F)C=CC(C(OC)COC2=CN=CC3=NN=C(C4=CC=C(C#N)C=C4)N32)=C1,7,4.47339
FC1=C(F)C=CC(CCOC2=CN=CC3=NN=C(C4=CC=C(Cl)C=C4)N32)=C1,7,4.37147
FC1=CC=C(N2C(C)=CC(C(OCC(N)=O)=O)=C2C)C=C1,7,7
Fc1ccccc1C2CC2C(=O)Nc3nc(cs3)c4ccccn4,11.1484,4.20003
IC12C(C3C1C4C52)C5C34C6=NN=C7C=NC=C(OCCC8=CC(F)=C(F)C=C8)N76,7,4.77945
IC12C3C4C5(C3C1C5C24)C6=NN=C7C=NC=C(C(NC8=CC(C(F)(F)F)=NC=C8)=O)N76,9.69068,4.53643
N#CC(C=C1)=CC=C1C2=NN=C3C=NC=C(OCCC4=CC=CC=C4)N32,7,4.5158
N#CC(C=C1)=CC=C1C2=NN=C3C=NC=C(OCCC4=CC=CC=C4Cl)N32,7,4.52708
n(CC(CNCC1CCCO1)O)(c2c3cc(Cl)cc2)c4c3cc(Cl)cc4,6.49649,8.22795
N1(C=CC(N)=NC1=O)C2O[C@@H]([C@@H](O)[C@H]2O)CO,7.96887,5.5106
n1(c2c(cccc2)n3)c3c4c(cccc4)NC1(C)c5cccc(OC)c5,12.1955,5.19304
n1(c2c(cccc2)n3)c3c4c(cccc4)NC1(C)c5ccccc5,12.1738,5.35826
N1(CC(=O)c(ccc(Cl)c2Cl)c2)c3c(cccc3)N(CCN4CCCCC4)C1=N,7,8.75525
n1(CCc2ccccc2F)c3c(nc4c(cccc4)n3)c(C(=O)NCC(C)C)c1N,10.2735,3.3403
n1(n2)c(nc(C)cc1Nc(cc(C)cc3C)c3)nc2C(F)(F)F,9.18895,4.95688
n1(nc(C)c2c3ccc(OC)c(OC)c3)c2ncc(C#N)c1N,9.12744,4.78569
n1(nc(C)cc1NC(=O)c(cccc2C(F)(F)F)c2)c3scc(c(ccc(OCO4)c45)c5)n3,7.67477,6.96419
n12c(cc(C(C)(C)C)n1)nc(CCN3Cc4ccccc4OCC)c(C3)c2O,4.53248,8.33861
n12c(nc(c3ccc(Cl)s3)cc1C(F)(F)F)cc(C(=O)NC(CC4)CCN4Cc5ccccc5)n2,7,8.60051
N1C(c2cccc(cccc3)c23)C(CC=C4)C4c5c1c(Cl)ccc5C(OC)=O,12.1231,3.84783
n1c(cc(C)nc1Nc(cc2)ccc2NC(CCc3ccccc3)=O)N4CCCC4,11.8407,6.83773
n1c(N)c2c(cccc2)nc1Nc3cccc(F)c3,11.02,5.20757
NC(=O)c1ccc(cc1)c2nc(cnc2N)c3ccc(cc3)C#N,11.8488,3.14362
Nc1ccc(cc1)C(=O)Nc2ccc(cc2)c3oc4ccccc4n3,9.84231,5.38037
Nc1ncc(Br)cc1c2nc3cc(Cl)cnc3[nH]2,9.00671,2.96666
Nc1ncc(cc1c2nc3cc(Cl)cnc3[nH]2)c4cn[nH]c4,5.64417,7.30931
Nc1nccc2ccc(cc12)c3ccc4nccn4c3,11.6642,6.04556
Nc1nccc2ccc(Oc3ccncc3)cc12,11.8564,5.63426
NCC(=O)N1CCn2c(C1)nc(c2Nc3ccc4OCOc4c3)c5ccccc5,9.65353,7.86132
NS(=O)(=O)c1cccc(c1)c2ccc3ncc(nc3c2)N4CCOCC4,7,4.88586
NS(=O)(=O)c1cncc(c1)c2ccc3nccc(c4cn[nH]c4)c3n2,5.11132,11.4102
O=C(/C(S/1)=C/C2=C(C)N(C3=CC=C(OC)C=C3)C(C)=C2)NC1=N\C4=CC=CC=C4,9.90306,4.54229
O=C(N1CC(C=CC=C2)=C2C1)C3=CN=CC4=NN=C(C5=CC=C(OC(F)F)C=C5)N43,7,4.20265
O=C(NC1=CC(Cl)=CC=C1C)C2=CN=CC(N23)=NN=C3C4=CC=C(OC(F)F)C=C4,9.41088,4.29816
O=C(NC1=CC=C(Cl)C=C1)C2=CN=CC3=NN=C(C4=CC=C(OC(F)F)C=C4)N32,10.1799,4.36089
O=C(NC1=CC=C(F)C=C1F)NC2=C(C3=CC=C(Br)C=C3)C(C(F)(F)F)=NN2C,7.81498,5.53065
O=C(NC1=CC=NC(C(F)(F)F)=C1)C2=CN=CC3=NN=C(C4=CC=C(OC(F)F)C=C4)N32,6.66335,4.01601
O=C(NC1CC1)c2ccc(nc2)N3CCC(Cc4ccccc4)CC3,7,4.96295
O=C(Nc1cccc(c1)c2ccc(NCCCN3CCCC3)nc2)c4ccccc4,9.60017,9.95465
O=C(Nc1ccccc1)c2ccc(s2)c3cc4ccncc4cc3OC5CCNCC5,11.023,7.72532
O=C(Nc1cnc2ccccc2c1)c3cccc(c3)n4cnnn4,11.3728,6.02009
O=C(NCCc1ccccc1)c2cc(cnc2NCC3CC3)c4cccnc4,12.5666,3.73712
O=C1C2=CC=CC=C2[C@@H](C(NC3=CC(C#N)=C(F)C=C3)=O)[C@H](C4=CN=CC=C4)N1CC(F)(F)F,9.33719,4.32794
O=C1C2=CC=CC=C2[C@H](C(NC3=CC(C#N)=C(F)C=C3)=O)[C@@H](C4=CN=CC=C4)N1CC(F)(F)F,9.33952,4.30474
O=C1N(Cc2cc3ccccc3s2)CC4CN(Cc5ccccc5)CCN14,7,8.77365
OC(C1=CC(F)=C(F)C=C1)COC2=CN=CC3=NN=C(C4=CC=C(C#N)C=C4)N32,11.2834,4.33491
OC(C1=CC=CC=C1)COC2=CN=CC3=NN=C(C4=CC=C(OC(F)F)C=C4)N32,10.9912,4.42876
OC(C1=CC=CC=C1)COC2=CN=CC3=NN=C(C4=CN=C(C(F)(F)F)C=C4)N32,11.1952,4.55855
OC1=CN=CC2=NN=C(N3CCCCC3)N21,6.11056,4.85792
OCc1ccc(cc1)c2cncc(Nc3cccc(Cl)c3)c2,11.812,2.94844
OCCc1ccc(Nc2nccc(n2)c3nnc4ccccn34)cc1,10.829,5.20376
OCCNc1ccc(cc1)C(=O)C2C[C@H]2c3ccc(Cl)cc3,12.1012,4.31797
O=[N](=O)C1=CC=C(C=C1)C=NNC2=NC3=C([NH]2)C=CC=C3,7.7659,5.93697
Brc1ccc(cc1)c2cc3C(=O)c4ccccc4c3nn2,7,3.19692
Brc1ccc(cc1)c2oc(cc2)C(=O)Nc3ccc(CN4CCOCC4)cc3,8.08044,9.33278
Brc1ccc(cc1)S(=O)(=O)N2CCC(CC2)C(=O)NCc3occc3,7,7
Brc1ccc(Nc2nc3ccccc3nc2Nc4ccc(Br)cc4)cc1,10.754,4.16696
Brc1ccc2OCC(=Cc2c1)C(=O)NCCCN3CCC(CC3)N4CCCCC4,7,8.78634
Brc1cccc(c1)C(=O)Nc2ccc(cc2)c3nc4cc5ccccc5cc4[nH]3,9.98746,5.63892
Brc1ccccc1C(=O)Nc2nc(cs2)c3ccccn3,11.2803,4.40266
c(c(ccn1)NCCN(CC)CC)(ccc(Cl)c2)c12,9.24493,8.54595
C(c1ccccc1)n2c(N=Nc3c(Nc4ccccc4)ccc5ccccc35)nc6ccccc26,10.3881,5.91291
C(Cc1c[nH]c2ccccc12)Nc3c4ccccc4nc5ccccc35,8.33004,5.77312
C(CCCNc1c2CCCCc2nc3ccccc13)CCNc4c5CCCCc5nc6ccccc46,10.5776,6.54885
C(Nc1nc(Nc2ccccc2)nc3ccccc13)c4ccccc4,11.826,5.196
C1(=NC(C)(Cc(cc(OC)c(OC)c2)c23)C)C3=NNC1=O,9.61012,4.80285
c1(c(ccn2)NCCN(CC)CC)c2cc(cccc3)c3c1,8.86952,9.04636
c1(cc(Br)ccc1O)CN(CC2)CCN2Cc3cccc(F)c3,5.74084,9.46676
c1(cnc(c2c1O)ccc(CC)c2)C(OCC)=O,6.23294,4.45446
c1(N(CC2)CCN2C)c3c(nc(Nc(ccc4O)cc4)n1)cccc3,7.59935,9.10016
c1(Nc(cc2)ccc2N(CC3)CCN3C)c4c(ccc(OC)c4)ncc1C(OCC)=O,8.15488,9.33702
C1(O)(CC(=O)c(ccc(OC)c2)c2O1)C(F)(F)C(F)(F)F,3.70093,7
C12=C(C=C(C(=O)NCc(cccn3)c3)C(=N)N1CCc(cc4)ccc4OC)C(=O)N(C=CC=C5C)C5=N2,7,6.37396
c12c(CC(C(O)=O)NC1c3ccc(Cl)cc3Cl)c4c(cccc4)[nH]2,4.60992,7.92435
c12c(ncnc1NCCCN(CC3)CCO3)c4c(ccc(Cl)c4)[nH]2,11.3039,7.7326
c12c(ncnc1NCCN(CC)CC)c3c(ccc(Br)c3)[nH]2,7.91771,9.041
c1ccc(cc1)C2=Nc3ccccc3N=C(c4ccccc4)c5ccccc25,7,3.34078
c1ccc(cc1)c2ccc(cc2)c3nc4ccccc4[nH]3,8.86381,5.15171
C1CN(CCO1)c2ccc(Nc3ccnc4cc5ccccc5cc34)cc2,11.1373,5.94353
c1ncc2n(c1C(Nc1cccc(c1)Cl)=O)c(nn2)c1ccc(cc1)OC(F)F,8.63631,4.12403
CC(=CCN1CCC(CC1)C(=O)Nc2ccc(cc2)c3nc4ccccc4[nH]3)C,6.1986,9.6461
CC(=O)c1sc(NC(=O)Nc2ccc(C)cc2C)nc1C,9.88499,4.58936
CC(=O)Nc1nnc(SCc2c(C)cc(cc2C)C(C)(C)C)s1,10.6718,3.48279
CC(C)(C)c1ccc(cc1)C2CC(=C3C(N(C(=O)c4ccccc4Cl)c5ccccc5N=C3C2)c6ccc(F)cc6)O,7.78936,4.12157
